Ubicación;Latitud;Longitud;Familia;Genero-ESPECIE
Latacunga, Ecuador;-0,755233483;-78,66519112;Apidae;Bombus funebris
Latacunga, Cotopaxi, Ecuador;-0,755208972;-78,66515161;Apidae;Bombus funebris
Carretera Transversal Fronteriza, Ibarra, Imbabura, EC;0,487858333;-78,1237555;Apidae;Apis mellifera
San Cristobal, Ecuador;-0,889242076;-89,60964755;Apidae;Xylocopa darwini
Guambalo (Huambalo), Ecuador;-1,402197673;-78,54878169;Apidae;Apis mellifera
Morona, Morona Santiago, EC;-2,233583333;-78,07903333;Apidae;Xylocopa similis
MCHC+WH4, Salasaca, Ecuador;-1,321420967;-78,57886031;Apidae;Apis mellifera
Chugchillan, Ecuador;-0,802316372;-78,93835042;Apidae;Apis mellifera
632J+G63, ChucchilÃ¡n, Ecuador;-0,807006087;-78,93540736;Apidae;Bombus funebris
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197519388;-78,40407638;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197519388;-78,40407638;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197519388;-78,40407638;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197849297;-78,40395836;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197849297;-78,40395836;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197849297;-78,40395836;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197485589;-78,40427284;Apidae;Apis mellifera
Santa Elena, Ecuador;-2,2268901;-80,8593845;Apidae;Apis mellifera
Latacunga, Ecuador;-0,75526583;-78,66520884;Apidae;Bombus funebris
Latacunga, Ecuador;-0,75526583;-78,66520884;Apidae;Bombus robustus
Latacunga, Ecuador;-0,75526583;-78,66520884;Apidae;Bombus funebris
Puerto LÃ³pez, Ecuador;-1,550148912;-80,81041796;Apidae;Apis mellifera
Puerto LÃ³pez, Parque Nacional Machalilla, EC-MN, EC;-1,489296288;-80,7926867;Apidae;Apis mellifera
Machalilla, Ecuador;-1,484775131;-80,77369996;Apidae;Apis mellifera
VG45+HR6, Quito 170104, Ecuador;-0,143932909;-78,48825432;Apidae;Bombus funebris
Tosagua, Ecuador;-0,757931102;-80,21163869;Apidae;Apis mellifera
GQGP+CRM, Hacienda San Miguel, Ecuador;0,5260935;-79,2129453;Apidae;Tetragona ziegleri
Saraguro, Ecuador;-3,680812989;-79,23836178;Apidae;Bombus rubicundus
Loja, Ecuador;-4,024081121;-79,19647515;Apidae;Apis mellifera
Guaitacama (Guaytacama), Ecuador;-0,812826972;-78,64494297;Apidae;Bombus funebris
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197467361;-78,40426702;Apidae;Apis mellifera
Latacunga, Ecuador;-0,752074566;-78,66573921;Apidae;Apis mellifera
Latacunga, Ecuador;-0,752069058;-78,66566004;Apidae;Bombus funebris
Latacunga, Ecuador;-0,753693917;-78,66496483;Apidae;Bombus robustus
Latacunga, Ecuador;-0,754889805;-78,66492422;Apidae;Bombus funebris
Latacunga, Ecuador;-0,753817445;-78,66486495;Apidae;Bombus funebris
BaÃ±os Canton, Ecuador;-1,404457092;-78,29784393;Apidae;Apis mellifera
Pusuqui Chico Bajo, Quito 170120, Ecuador;-0,0734896;-78,4768451;Apidae;Apis mellifera
Pusuqui Chico Bajo, Quito 170120, Ecuador;-0,0735148;-78,4768439;Apidae;Apis mellifera
Jipijapa, ManabÃ­, EC;-1,575428333;-80,8404;Apidae;Eulaema polychroma
Toacaso, Ecuador;-0,719909426;-78,77028957;Apidae;Apis mellifera
Quito, Quito, Pichincha, EC;-0,257738333;-78,45148333;Apidae;Apis mellifera
Latacunga, Ecuador;-0,754077807;-78,6645342;Apidae;Bombus funebris
San Fco. de Natabuela, Ecuador;0,3433617;-78,2003662;Apidae;Apis mellifera
Ambato, Tungurahua, EC;-1,241436667;-78,66083667;Apidae;Apis mellifera
Latacunga, Cotopaxi, EC;-0,608191038;-78,53777653;Apidae;Bombus funebris
Cotopaxi, Mejia, Pichincha, EC;-0,599228333;-78,487595;Apidae;Bombus funebris
Latacunga, Ecuador;-0,75526583;-78,66520884;Apidae;Bombus funebris
Latacunga, Cotopaxi, Ecuador;-0,75526583;-78,66520884;Apidae;Bombus robustus
Latacunga, Cotopaxi, Ecuador;-0,75526583;-78,66520884;Apidae;Bombus robustus
Latacunga, Cotopaxi, Ecuador;-0,75526583;-78,66520884;Apidae;Bombus robustus
Latacunga, Cotopaxi, Ecuador;-0,75526583;-78,66520884;Apidae;Bombus robustus
Latacunga, Ecuador;-0,86;-78,59;Apidae;Apis mellifera
Cotopaxi, Mejia, Pichincha, EC;-0,594495;-78,49558333;Apidae;Bombus funebris
Latacunga, Ecuador;-0,86;-78,59;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,1975;-78,40416667;Apidae;Apis mellifera
Quito, Ecuador;-0,012771903;-78,45474168;Apidae;Apis mellifera
Latacunga, Ecuador;-0,84;-78,53;Apidae;Apis mellifera
RÃ­o Alaquez;-0,86;-78,59;Apidae;Apis mellifera
Latacunga, Ecuador;-0,85;-78,55;Apidae;Apis mellifera
Latacunga, Ecuador;-0,87;-78,58;Apidae;Apis mellifera
Latacunga, Ecuador;-0,86;-78,58;Apidae;Apis mellifera
Latacunga, Ecuador;-0,86;-78,58;Apidae;Apis mellifera
RÃ­o Alaquez;-0,86;-78,58;Apidae;Apis mellifera
Salcedo, Ecuador;-1,072274;-78,67268;Apidae;Apis mellifera
Salcedo, Ecuador;-1,08;-78,67;Apidae;Apis mellifera
Latacunga, Ecuador;-0,96;-78,65;Apidae;Apis mellifera
Latacunga, Ecuador;-0,97;-78,64;Apidae;Apis mellifera
Latacunga, Ecuador;-0,960527;-78,642916;Apidae;Apis mellifera
Pujili, Ecuador;-1,012285;-78,73208;Apidae;Apis mellifera
3 de Diciembre, Quito, Pichincha, EC;-0,128648701;-78,3139357;Apidae;Apis mellifera
RÃ­o Alaquez;-0,85;-78,55;Apidae;Apis mellifera
Puembo, Ecuador;-0,155602;-78,3728456;Apidae;Apis mellifera
SaquisilÃ­, Ecuador;-0,82;-78,65;Apidae;Apis mellifera
SaquisilÃ­, Ecuador;-0,84;-78,65;Apidae;Bombus robustus
SaquisilÃ­, Ecuador;-0,81;-78,67;Apidae;Apis mellifera
Cerro Imbabura, Ecuador;0,2608333;-78,1808333;Apidae;Bombus rubicundus
RÃ­o Alaquez;-0,834948;-78,530029;Apidae;Apis mellifera
RÃ­o Alaquez;-0,87;-78,58;Apidae;Apis mellifera
Redondel Mitad del Mundo, Quito, Ecuador;-0,003998168;-78,4522691;Apidae;Apis mellifera
Salcedo, EC-CT, EC;-1,066261;-78,675456;Apidae;Apis mellifera
Pujili, Ecuador;-0,997993;-78,705005;Apidae;Apis mellifera
Salcedo, EC-CT, EC;-1,067494;-78,676009;Apidae;Apis mellifera
Salcedo, EC-CT, EC;-1,072853;-78,66858;Apidae;Apis mellifera
Pujili, Ecuador;-0,99;-78,69;Apidae;Apis mellifera
Latacunga, EC-CT, EC;-0,97;-78,64;Apidae;Apis mellifera
Ibarra, Ecuador;0,3471469;-78,1323648;Apidae;Apis mellifera
Canoa, Ecuador;-0,447484474;-80,45952436;Apidae;Eulaema polychroma
San Rafael, Ecuador;-0,33525812;-78,47563251;Apidae;Apis mellifera
Latacunga, Ecuador;-0,9;-78,59;Apidae;Apis mellifera
Cotacachi, Ecuador;0,450718408;-78,52593892;Apidae;Bombus hortulanus
Latacunga, Ecuador;-0,9;-78,58;Apidae;Apis mellifera
PujilÃ­, EC-CT, EC;-1,008998;-78,740124;Apidae;Apis mellifera
PujilÃ­, EC-CT, EC;-1,007854;-78,734176;Apidae;Apis mellifera
PujilÃ­, EC-CT, EC;-1,006209;-78,740571;Apidae;Apis mellifera
PujilÃ­, EC-CT, EC;-1,005893;-78,741071;Apidae;Apis mellifera
Tabacundo, Ecuador;0,0411016;-78,2077368;Apidae;Apis mellifera
WGH9+8G8, Quito 170120, Ecuador;-0,07013468;-78,48098031;Apidae;Apis mellifera
PujilÃ­, EC-CT, EC;-1,009864;-78,73008;Apidae;Apis mellifera
Cotundo, Ecuador;-0,528712555;-78,18836421;Apidae;Bombus rubicundus
Tabacundo, Ecuador;0,0411016;-78,2077368;Apidae;Apis mellifera
San Antonio de Ibarra, Ecuador;0,317739222;-78,16879414;Apidae;Apis mellifera
QGC9+6V3, Quito 170145, Ecuador;-0,2306294;-78,4796191;Apidae;Apis mellifera
Conocoto, Quito, Ecuador;-0,31102173;-78,48001756;Apidae;Bombus funebris
N52D, Quito, Pichincha, EC;-0,139927604;-78,46729299;Apidae;Apis mellifera
Abdon Calderon Y Marquesa de Solanda (S-n), Quito, Ecuador;-0,309722222;-78,48416667;Apidae;Apis mellifera
Manuel Cordova Galarza Y Museo Solar, Quito, Ecuador;-0,0008025;-78,45228577;Apidae;Apis mellifera
Manuel Cordova Galarza Y Museo Solar, Quito, Ecuador;-0,0006606;-78,45211029;Apidae;Apis mellifera
Manta, Ecuador;-0,963043;-80,752816;Apidae;Centris analis
N52D, Quito, Pichincha, EC;-0,139973937;-78,46733564;Apidae;Apis mellifera
Puerto BolÃ­var, Machala, Ecuador;-3,2559896;-79,9947956;Apidae;Apis mellifera
De Los Colimes, Quito, Pichincha, EC;-0,168113256;-78,47290852;Apidae;Thygater aethiops
Avenida de los Granados, Quito, Pichincha, EC;-0,168111958;-78,47285449;Apidae;Thygater aethiops
Finca Heimatlos, Pastaza Canton, Ecuador;-1,617352063;-77,84007111;Apidae;Xylocopa frontalis
Via Lactea, Quito, Pichincha, EC;-0,196147715;-78,42558383;Apidae;Apis mellifera
Pujili, Ecuador;-1,00968;-78,741378;Apidae;Apis mellifera
Pujili, Ecuador;-1,005001;-78,729502;Apidae;Apis mellifera
Saquisili, Ecuador;-0,828952;-78,735467;Apidae;Apis mellifera
Saquisili, Ecuador;-0,829038;-78,737506;Apidae;Apis mellifera
Saquisili, Ecuador;-0,818757;-78,738695;Apidae;Apis mellifera
Saquisili, Ecuador;-0,819047;-78,739446;Apidae;Apis mellifera
Saquisili, Ecuador;-0,818864;-78,738395;Apidae;Apis mellifera
Saquisili, Ecuador;-0,840054;-78,734171;Apidae;Apis mellifera
Parroquia El Sagrario, Ibarra, Ecuador;0,351095945;-78,10582124;Apidae;Apis mellifera
Saquisili, Ecuador;-0,835162;-78,731096;Apidae;Apis mellifera
BaÃ±os, Tungurahua, EC;-1,417937777;-78,4262876;Apidae;Bombus hortulanus
SaquisilÃ­, EC-CT, EC;-0,838492;-78,733138;Apidae;Apis mellifera
SaquisilÃ­, EC-CT, EC;-0,818795;-78,729461;Apidae;Apis mellifera
SaquisilÃ­, EC-CT, EC;-0,815972;-78,653977;Apidae;Apis mellifera
SamborondÃ³n, Guayas, EC;-2,0849;-79,86869667;Apidae;Apis mellifera
Latacunga, EC-CT, EC;-0,81;-78,65;Apidae;Apis mellifera
SaquisilÃ­, EC-CT, EC;-0,81;-78,66;Apidae;Apis mellifera
Latacunga, EC-CT, EC;-0,812887;-78,645091;Apidae;Apis mellifera
Pujili, Ecuador;-0,993325;-78,700714;Apidae;Apis mellifera
Pujili, Ecuador;-0,994317;-78,700301;Apidae;Apis mellifera
Toacaso;-0,719909426;-78,77028957;Apidae;Bombus funebris
El Tropezon, Ambato, Ecuador;-1,261072028;-78,63737486;Apidae;Apis mellifera
VÃ­a al Rancho, Ecuador;0,3562289;-78,2064945;Apidae;Apis mellifera
Chibunga, Ecuador;-0,027616694;-79,61112052;Apidae;Xylocopa frontalis
Oriente, BaÃ±os, Tungurahua, EC;-1,396716667;-78,42721667;Apidae;Apis mellifera
San Pablo, Quito, Pichincha, EC;-0,18983833;-78,33574667;Apidae;Xylocopa viridigastra
San Pablo, Quito, Pichincha, EC;-0,18996167;-78,33608333;Apidae;Apis mellifera
Quito, Pichincha, EC;-0,189739675;-78,33551296;Apidae;Apis mellifera
Cd DE IBARRA, Ibarra, Ecuador;0,358284361;-78,13090788;Apidae;Apis mellifera
Cotacachi, Ecuador;0,3071217;-78,2647004;Apidae;Apis mellifera
Laguna de Yahuarcocha, Ecuador;0,3719409;-78,1005579;Apidae;Apis mellifera
Laguna de Yahuarcocha, Ecuador;0,3719409;-78,1005579;Apidae;Apis mellifera
San Antonio de Ibarra, Ecuador;0,329803767;-78,17188447;Apidae;Apis mellifera
Antonio Ante, Ecuador;0,355835989;-78,20618438;Apidae;Apis mellifera
Sani Lodge;-0,438418878;-76,27919197;Apidae;Tetragona goettei
Parroquia Ambatillo, Ecuador;-1,246357415;-78,65874086;Apidae;Apis mellifera
Quito, Ecuador;-0,1806532;-78,4678382;Apidae;Apis mellifera
Nuestra Senora de Santa Ana Y E16, Quito 170124, Ecuador;-0,163096949;-78,45879364;Apidae;Apis mellifera
Ibarra, Ecuador;0,377483;-78,1720041;Apidae;Apis mellifera
Cayambe, Ecuador;0,043471301;-78,12033242;Apidae;Apis mellifera
La Victoria, Ibarra, Ecuador;0,349585278;-78,10720969;Apidae;Apis mellifera
Loreto, Ecuador;-0,433293;-77,333924;Apidae;Eulaema speciosa
Loreto, Ecuador;-0,433293;-77,333924;Apidae;Bombus transversalis
Quijos, Ecuador;-0,590859;-77,880621;Apidae;Bombus hortulanus
Apuya Ridge, Provincia de Napo, Ecuador;-1,115458878;-77,77265747;Apidae;Xylocopa frontalis
Salcedo, Ecuador;-1,0421893;-78,5907367;Apidae;Apis mellifera
GQH9+HVP, CantÃ³n Huaquillas, Ecuador;-3,470735311;-80,23111984;Apidae;Apis mellifera
Cocotog;-0,139572967;-78,40981677;Apidae;Xylocopa viridigastra
Quiroga, Ecuador;0,269678333;-78,33449333;Apidae;Bombus hortulanus
Mercado Municipal;-3,479345435;-80,22410989;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197563099;-78,40405761;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197498726;-78,40424;Apidae;Apis mellifera
CantÃ³n Archidona, Ecuador;-0,526484799;-78,20587309;Apidae;Bombus rubicundus
CantÃ³n Archidona, Ecuador;-0,526484799;-78,20587309;Apidae;Bombus funebris
CantÃ³n Archidona, Ecuador;-0,526484799;-78,20587309;Apidae;Bombus rubicundus
6QJ6+Q2M, Otavalo, Ecuador;0,2319565;-78,2399585;Apidae;Apis mellifera
Hugo Ortiz, Otavalo, Imbabura, EC;0,179003265;-78,20353073;Apidae;Apis mellifera
GarcÃ­a Lorca, Ambato, Tungurahua, EC;-1,261053333;-78,63726167;Apidae;Apis mellifera
Salvador DalÃ­, Ambato, Tungurahua, EC;-1,261261667;-78,63704667;Apidae;Apis mellifera
Arenillas, El Oro, EC;-3,498286667;-80,01656388;Apidae;Apis mellifera
Oe 11 F Alejandro Labaka, Quito, Pichincha, EC;-0,179433032;-78,51308903;Apidae;Apis mellifera
CWVH+VC5, Arenillas, Ecuador;-3,555320788;-80,07141072;Apidae;Apis mellifera
Camino Pedro Calvo - Martin de Utreras, Quito, Pichincha, EC;-0,185828333;-78,49977833;Apidae;Apis mellifera
Machala, Ecuador;-3,429286937;-79,96432578;Apidae;Apis mellifera
Gonzalo Pizarro, Tumbaco, Pichincha, EC;-0,215207417;-78,40460307;Apidae;Apis mellifera
Gil Ramirez Davalos, Cuenca, Ecuador;-2,899892041;-79,00628038;Apidae;Apis mellifera
Finca Experimental La MarÃ­a (Universidad TÃ©cnica Estatal de Quevedo);-1,080312005;-79,50145438;Apidae;Apis mellifera
Quito, Pichincha, EC;-0,192578333;-78,4171;Apidae;Apis mellifera
Finca Experimental La MarÃ­a (Universidad TÃ©cnica Estatal de Quevedo);-1,080309994;-79,50145438;Apidae;Apis mellifera
San Cristobal, Ecuador;-1,281246656;-90,44537208;Apidae;Xylocopa darwini
Santa Cruz, GalÃ¡pagos, Ecuador;-0,694030556;-90,22135833;Apidae;Xylocopa darwini
Finca Experimental La MarÃ­a (Universidad TÃ©cnica Estatal de Quevedo);-1,080316363;-79,50145438;Apidae;Apis mellifera
Avenida Los Guaytambos, Ambato, Tungurahua, EC;-1,245703164;-78,63975194;Apidae;Apis mellifera
Santo Domingo, Santo Domingo de los Colorados, EC;-0,364661667;-79,27001167;Apidae;Eulaema cingulata
Ecuador;-1,831239;-78,183406;Apidae;Apis mellifera
Avenida Oswaldo GuayasamÃ­n / Avenida InteroceÃ¡nica Norte, Quito, ProvÃ­ncia de Pichincha, EC;-0,2064171;-78,42843052;Apidae;Apis mellifera
Marenostrum;-0,206040482;-78,48850608;Apidae;Apis mellifera
VÃ­a a Mojanda, Pedro Moncayo, Pichincha, EC;0,138552833;-78,278655;Apidae;Bombus funebris
Salvador DalÃ­, Ambato, Tungurahua, EC;-1,261271667;-78,637055;Apidae;Apis mellifera
Nayon, Ecuador;-0,180903969;-78,44447527;Apidae;Apis mellifera
Francisco de Orellana, Quito, Pichincha, EC;-0,198621667;-78,43524167;Apidae;Apis mellifera
Unnamed Road, Ecuador;-1,08580754;-79,49791688;Apidae;Apis mellifera
Finca Experimental La MarÃ­a (Universidad TÃ©cnica Estatal de Quevedo);-1,080316363;-79,50145438;Apidae;Apis mellifera
Quito, Pichincha, EC;-0,077912061;-78,49421078;Apidae;Apis mellifera
Francisco de Orellana, Tumbaco, Pichincha, EC;-0,209338874;-78,41113734;Apidae;Apis mellifera
Finca Experimental La MarÃ­a (Universidad TÃ©cnica Estatal de Quevedo);-1,080312005;-79,50145438;Apidae;Apis mellifera
Tumbabiro, Ecuador;0,460022972;-78,23768614;Apidae;Apis mellifera
Este 9B, Quito, Pichincha, EC;-0,241586667;-78,49868;Apidae;Apis mellifera
USFQ;-0,196889847;-78,43574435;Apidae;Xylocopa viridigastra
Otavalo, EC-IM, EC;0,214501454;-78,21339123;Apidae;Apis mellifera
CumbayÃ¡;-0,210725265;-78,44108965;Apidae;Apis mellifera
Los Tucanes, Mindo, Pichincha, EC;-0,05385305;-78,77685555;Apidae;Apis mellifera
Quito, EC-PI, EC;-0,18502;-78,4825754;Apidae;Apis mellifera
Sol, Quito, Pichincha, EC;-0,175980867;-78,44764141;Apidae;Apis mellifera
Facultad de Ciencias Agropecuarias;-3,29138905;-79,91391577;Apidae;Apis mellifera
Alejandro Labaka, Ecuador;-0,674183829;-76,39753774;Apidae;Trigona chanchamayoensis
EstaciÃ³n CientÃ­fica YasunÃ­ PUCE;-0,674240487;-76,39687356;Apidae;Xylocopa frontalis
San Miguel de los Bancos, Ecuador;-0,048505556;-78,79189167;Apidae;Trigona ferricauda
"0Â°40'27.58""S; 76Â°23'50.47""W";-0,674327778;-76,39735278;Apidae;Xylocopa frontalis
Rio Coca, Quito, Pichincha, EC;-0,099039671;-78,45221964;Apidae;Apis mellifera
Santo Domingo Canton, Ecuador;-0,365017818;-79,26948363;Apidae;Apis mellifera
Latacunga, Ecuador;-0,754106843;-78,66473298;Apidae;Bombus robustus
Azogues, Ecuador;-2,744534012;-78,8897123;Apidae;Apis mellifera
PujilÃ­, Provincia de Cotopaxi, EC;-0,891305;-79,155;Apidae;Apis mellifera
Picaihua 180204, Ecuador;-1,2760056;-78,585247;Apidae;Apis mellifera
Latacunga, EC-CT, EC;-0,753643055;-78,66495863;Apidae;Bombus robustus
Latacunga, EC-CT, EC;-0,753643055;-78,66495729;Apidae;Bombus robustus
Latacunga, Cotopaxi, Ecuador;-0,753937138;-78,66468347;Apidae;Bombus robustus
Latacunga, Ecuador;-0,753973422;-78,66465998;Apidae;Apis mellifera
Machala;-3,258110663;-79,95539244;Apidae;Apis mellifera
Machala, Ecuador;-3,2690829;-79,9613369;Apidae;Apis mellifera
Latacunga, Cotopaxi, Ecuador;-0,753630883;-78,66497282;Apidae;Bombus robustus
Santa Cruz, Parque Nacional GalÃ¡pagos, GalÃ¡pagos, Ecuador;-0,666483333;-90,26215278;Apidae;Xylocopa darwini
Finca Experimental La MarÃ­a (Universidad TÃ©cnica Estatal de Quevedo);-1,080309994;-79,50145438;Apidae;Apis mellifera
Parroquia Jambeli, Machala, Ecuador;-3,255823653;-79,98326042;Apidae;Apis mellifera
Latacunga, Ecuador;-0,753738453;-78,6649744;Apidae;Bombus robustus
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,198092172;-78,40379584;Apidae;Eulaema polychroma
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197526483;-78,40416191;Apidae;Apis mellifera
El Cambio, Ecuador;-3,291596244;-79,91377294;Apidae;Apis mellifera
Quevedo, Los RÃ­os, EC;-0,92768155;-79,39456555;Apidae;Apis mellifera
Machala, Ecuador;-3,2690829;-79,9613369;Apidae;Apis mellifera
Mocache, Ecuador;-1,080315693;-79,50145438;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197609639;-78,40398519;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197609639;-78,40398519;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197480894;-78,4042695;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197483576;-78,40423731;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197483576;-78,40423731;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197554654;-78,40422929;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197554654;-78,40422929;Apidae;Apis mellifera
Latacunga, Ecuador;-0,75361474;-78,66494781;Apidae;Bombus robustus
Latacunga, Ecuador;-0,755274835;-78,66520805;Apidae;Bombus robustus
Latacunga, Cotopaxi, Ecuador;-0,755274835;-78,66520805;Apidae;Bombus funebris
Latacunga, Cotopaxi, Ecuador;-0,755274835;-78,66520805;Apidae;Bombus robustus
Venus, Quito, Pichincha, EC;-0,290550627;-78,45290017;Apidae;Apis mellifera
Latacunga, Ecuador;-0,753635245;-78,66496095;Apidae;Bombus robustus
SangolquÃ­;-0,33016268;-78,45107283;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197853719;-78,40382694;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,199548466;-78,40301421;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,198097055;-78,40359544;Apidae;Apis mellifera
Tumbaco, Ecuador;-0,198054139;-78,40332486;Apidae;Apis mellifera
El Guabo, Ecuador;-3,2368706;-79,8184684;Apidae;Apis mellifera
Reserva EcolÃ³gica Cotacachi-Cayapas, Otavalo, Imbabura, EC;0,304533333;-78,37886167;Apidae;Bombus funebris
Latacunga, Ecuador;-0,753752762;-78,66497959;Apidae;Bombus robustus
Latacunga, Cotopaxi, Ecuador;-0,75518803;-78,66520484;Apidae;Bombus robustus
Las Lajas, Ecuador;-3,732911913;-80,04312034;Apidae;Apis mellifera
Las Lajas, Ecuador;-3,732911913;-80,04312034;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197831205;-78,40390474;Apidae;Anthophora pilifrons
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197831205;-78,40390474;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197831205;-78,40390474;Apidae;Anthophora pilifrons
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197831205;-78,40390474;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197831205;-78,40390474;Apidae;Anthophora pilifrons
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197910045;-78,40384303;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197910045;-78,40384303;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197910045;-78,40384303;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197816168;-78,4038779;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,19750532;-78,40488176;Apidae;Apis mellifera
VÃ­a La Costa, Ecuador;-2,180910367;-80,02152986;Apidae;Apis mellifera
Latacunga, Ecuador;-0,75518803;-78,66520484;Apidae;Bombus robustus
GQCJ+Q23, CantÃ³n Huaquillas, Ecuador;-3,4781567;-80,2197589;Apidae;Apis mellifera
Jacinto JijÃ³n y CaamaÃ±o, Quito, Pichincha, EC;-0,144440388;-78,47988354;Apidae;Apis mellifera
Alborada XII Etapa, Guayaquil 090501, Ecuador;-2,136334612;-79,90665847;Apidae;Apis mellifera
Nuestra SeÃ±ora de Santa Ana, Quito, Pichincha, EC;-0,162375;-78,45866333;Apidae;Apis mellifera
Latacunga, Ecuador;-0,753652893;-78,6648975;Apidae;Bombus robustus
Latacunga, Cotopaxi, Ecuador;-0,756856695;-78,61512983;Apidae;Apis mellifera
Guayaquil, EC-GU, EC;-2,1471538;-79,8899243;Apidae;Apis mellifera
San Vicente, Ecuador;-0,576525;-80,41800556;Apidae;Neoxylocopa
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197856221;-78,4038881;Apidae;Apis mellifera
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197856221;-78,4038881;Apidae;Apis mellifera
Parque Nacional GalÃ¡pagos, Santa Cruz, GalÃ¡pagos, EC;-0,743655106;-90,31720567;Apidae;Xylocopa darwini
Archidona, EC-NA, EC;-0,89891642;-77,77711094;Apidae;Trigona chanchamayoensis
Archidona, Napo, Ecuador;-0,8989815;-77,77706745;Apidae;Trigona chanchamayoensis
Latacunga, Ecuador;-0,753751559;-78,66498701;Apidae;Bombus robustus
Urbanizacion Los Algarrobos de la ViÃ±a, Quito 170184, Ecuador;-0,197894379;-78,4038511;Apidae;Apis mellifera
JGG7+VXF, Quito, Ecuador;-0,373133875;-78,48595463;Apidae;Bombus funebris
Latacunga, Cotopaxi, Ecuador;-0,753592472;-78,66495513;Apidae;Bombus robustus
Latacunga, Ecuador;-0,753592472;-78,66493367;Apidae;Bombus robustus
Latacunga, Cotopaxi, Ecuador;-0,753813112;-78,6651247;Apidae;Apis mellifera
Latacunga, Ecuador;-0,752084382;-78,66559611;Apidae;Bombus robustus
Latacunga, Ecuador;-0,752084382;-78,66559611;Apidae;Bombus robustus
Latacunga, Cotopaxi, Ecuador;-0,752084382;-78,66559611;Apidae;Bombus funebris
Latacunga, Cotopaxi, Ecuador;-0,752084382;-78,66559611;Apidae;Bombus robustus
Latacunga, Ecuador;-0,752084382;-78,66559611;Apidae;Bombus funebris
Punta Blanca, Ecuador;-2,157481422;-80,78885903;Apidae;Apis mellifera
Latacunga, Cotopaxi, Ecuador;-0,755254457;-78,66522808;Apidae;Bombus robustus
Latacunga, Cotopaxi, Ecuador;-0,755254457;-78,66522808;Apidae;Bombus robustus
