Ubicación;Latitud;Longitud;Familia;Genero-ESPECIE
BaÃ±os, BaÃ±os, Tungurahua, EC;-1,405021667;-78,41751167;Apidae;Bombus hortulanus
Jerusalen, Ecuador;-0,0166667;-78,3833333;Apidae;Apis mellifera
Guayaquil, EC-GU, EC;-2,149125882;-79,95716983;Apidae;Apis mellifera
Tumbaco, Ecuador;-0,205626977;-78,37112941;Apidae;Apis mellifera
Pontificia Universidad CatÃ³lica Del Ecuador, Quito, Pichincha, EC;-0,210921667;-78,49115;Apidae;Apis mellifera
Pontificia Universidad CatÃ³lica Del Ecuador, Quito, Pichincha, EC;-0,210895;-78,49112;Apidae;Apis mellifera
San Rafael, Ecuador;-0,323878886;-78,47971008;Apidae;Xylocopa
Guayaquil, EC-GU, EC;-2,148165233;-79,95814229;Apidae;Apis mellifera
Avenida Principal de la ESPOL, Guayaquil, Ecuador;-2,149166584;-79,95722198;Apidae;Apis mellifera
Guayaquil, Guayaquil, Guayas, EC;-2,150933901;-79,95580198;Apidae;Apis mellifera
Avenida Principal de la ESPOL, Guayaquil, Ecuador;-2,144013882;-79,94637299;Apidae;Apis mellifera
Avenida Principal de la ESPOL, Guayaquil, Ecuador;-2,150000095;-79,95694733;Apidae;Apis mellifera
Avenida Principal de la ESPOL, Guayaquil, Ecuador;-2,149265846;-79,95724853;Apidae;Apis mellifera
Santa Cruz, Parque Nacional GalÃ¡pagos, EC-GA, EC;-0,742582034;-90,30368639;Apidae;Xylocopa darwini
Santa Cruz, Parque Nacional GalÃ¡pagos, EC-GA, EC;-0,74327813;-90,30347519;Apidae;Xylocopa darwini
Charles Darwin Foundation, Puerto Ayora, Ecuador;-0,742193401;-90,30404663;Apidae;Xylocopa darwini
Av. Seymour, Puerto Ayora, Ecuador;-0,739302928;-90,30187237;Apidae;Xylocopa darwini
Km. 78 de la Via Quito - Calacali - La Independencia, Mindo 170751, Ecuador;-0,0265602;-78,7593928;Apidae;Apis mellifera
Loja, Ecuador;-3,644923856;-79,25987726;Apidae;Bombus hortulanus
Av. 30 204, Guayaquil 090511, Ecuador;-2,165668994;-79,91108235;Apidae;Apis mellifera
CantÃ³n BaÃ±os, Ecuador;-1,418056278;-78,42596764;Apidae;Bombus hortulanus
Santa Cruz, Parque Nacional GalÃ¡pagos, EC-GA, EC;-0,739532552;-90,3060833;Apidae;Xylocopa darwini
Galapagos Islands, Santa Cruz, Galapagos, EC;-0,739267264;-90,30185647;Apidae;Xylocopa darwini
Centro Historico, Cuenca, Ecuador;-2,907931139;-78,99785295;Apidae;Apis mellifera
Puerto Ayora, Ecuador;-0,740925759;-90,30255718;Apidae;Xylocopa darwini
Puerto Ayora, Ecuador;-0,738171861;-90,30572058;Apidae;Xylocopa darwini
E38, Ecuador;-0,33736831;-79,75562286;Apidae;Xylocopa frontalis
Las Minas 905, Quito 170184, Ecuador;-0,195671796;-78,39492649;Apidae;Apis mellifera
El ChaquiÃ±Ã¡n, 170184, Ecuador;-0,183413833;-78,3796493;Apidae;Apis mellifera
Unnamed Road, Ecuador;-1,319444418;-78,49333191;Apidae;Apis mellifera
Puerto Ayora, Ecuador;-0,733507914;-90,32796309;Apidae;Xylocopa darwini
Path to Playa Carola, Puerto Baquerizo Moreno, Ecuador;-0,892808887;-89,60874919;Apidae;Xylocopa darwini
Isabela, Parque Nacional GalÃ¡pagos, GalÃ¡pagos, Ecuador;-0,389588333;-91,22584167;Apidae;Xylocopa darwini
Guayaquil, Ecuador;-2,148478164;-79,96047629;Apidae;Apis mellifera
Ibarra, Ecuador;0,321636;-78,109682;Apidae;Apis mellifera
Avenida 6 de Diciembre, Quito, Pichincha, EC;-0,18672;-78,47959167;Apidae;Apis mellifera
Einstein, Quito 170104, Ecuador;-0,155311111;-78,49028056;Apidae;Apis mellifera
Bellavista, Quito, Ecuador;-0,178988889;-78,46506389;Apidae;Apis mellifera
Yantzaza, Yantzaza, Zamora Chinchipe, EC;-3,749953119;-78,63096786;Apidae;Apis mellifera
Yantzaza, Yantzaza, Zamora Chinchipe, EC;-3,750011667;-78,631195;Apidae;Xylocopa similis
Quito, EC-PI, EC;-0,306804939;-78,42013322;Apidae;Apis mellifera
Perimetral, Quito, Ecuador;-0,185555562;-78,46444702;Apidae;Apis mellifera
Bellavista, Quito, Ecuador;-0,183035083;-78,46724061;Apidae;Apis mellifera
Camino al Altar, Penipe, Chimborazo, EC;-1,659816667;-78,47143667;Apidae;Bombus funebris
Provincia de Napo, Ecuador;-1,015562065;-77,67152172;Apidae;Bombus transversalis
Calle Chimborazo, Quito 170183, Ecuador;-0,16698748;-78,34142405;Apidae;Apis mellifera
Quito, EC-PI, EC;-0,20002212;-78,43733997;Apidae;Apis mellifera
Santa Cruz, GalÃ¡pagos, Ecuador;-0,747858333;-90,31252167;Apidae;Xylocopa darwini
Puerto Ayora, Ecuador;-0,750273333;-90,32303667;Apidae;Xylocopa darwini
Quito, EC-PI, EC;-0,315002105;-78,4669205;Apidae;Apis mellifera
Francisco Hernandez, Quito, Pichincha, EC;-0,181390755;-78,50094616;Apidae;Bombus hortulanus
Provincia de BolÃ­var, Ecuador;-1,496388912;-79,01972198;Apidae;Bombus funebris
Parque Nacional Machalilla, Jipijapa, ManabÃ­, EC;-1,545746667;-80,77842;Apidae;Apis mellifera
Cayambe, Cayambe, Pichincha, EC;-0,023266667;-78,17067;Apidae;Bombus hortulanus
SAN FRANCISCO DE LA PITA Y Oe9, Quito 170132, Ecuador;-0,159672201;-78,50261688;Apidae;Apis mellifera
Provincia de Napo, Ecuador;-0,992340639;-77,82588301;Apidae;Euglossa intersecta
Punta Blanca, Ecuador;-2,155942788;-80,79015405;Apidae;Ancyloscelis
San Roque, Quito, Pichincha, EC;-0,218105;-78,51976667;Apidae;Apis mellifera
Tena, EC-NA, EC;-0,82516957;-78,31130505;Apidae;Bombus funebris
Montalvo, Quito, Pichincha, EC;-0,203528333;-78,429955;Apidae;Apis mellifera
Quijos, EC-NA, EC;-0,36190384;-78,14991165;Apidae;Bombus funebris
Vincenzo Scamozzi, Quito, Pichincha, EC;-0,211639828;-78,43369078;Apidae;Apis mellifera
Provincia de SucumbÃ­os, Ecuador;0,025266;-77,322175;Apidae;Bombus transversalis
Ferroviaria, Guayaquil, Ecuador;-2,185627689;-79,89917107;Apidae;Eulaema polychroma
Cevallos, Cevallos, Tungurahua, EC;-1,337486667;-78,61367;Apidae;Apis mellifera
Cevallos, Cevallos, Tungurahua, EC;-1,337461667;-78,61348;Apidae;Apis mellifera
Cevallos, Cevallos, Tungurahua, EC;-1,337545;-78,613275;Apidae;Apis mellifera
Santa Cruz, Parque Nacional GalÃ¡pagos, EC-GA, EC;-0,741849728;-90,30420098;Apidae;Xylocopa darwini
Latacunga, Ecuador;-0,939749964;-78,62607261;Apidae;Bombus funebris
Montalvo, Quito, Pichincha, EC;-0,20352;-78,42996167;Apidae;Apis mellifera
Interior Parque de, Quito 170135, Ecuador;-0,1857277;-78,485054;Apidae;Bombus robustus
Conjunto ParaÃ­so, Quito 170184, Ecuador;-0,196391092;-78,39246878;Apidae;Apis mellifera
Conjunto ParaÃ­so, Quito 170184, Ecuador;-0,196433783;-78,39251974;Apidae;Apis mellifera
Quito, Pichincha, Ecuador;-0,339855556;-78,52024167;Apidae;Apis mellifera
Montalvo, Quito, Pichincha, EC;-0,203528333;-78,429955;Apidae;Apis mellifera
CumbayÃ¡, Quito, Ecuador;-0,203466667;-78,42972222;Apidae;Apis mellifera
Quito, Pichincha, Ecuador;-0,197072222;-78,47104722;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,99220379;-77,83237305;Apidae;Xylocopa similis
21 de Marzo, Quito, Ecuador;-0,00665295;-78,4565944;Apidae;Apis mellifera
Santa Elena, Santa Elena, Santa Elena, EC;-2,286878333;-80,50326667;Apidae;Apis mellifera
Calle Salinas, Tena, Ecuador;-1,0044981;-77,8155372;Apidae;Apis mellifera
Quito, Quito, Pichincha, EC;-0,341816667;-78,516555;Apidae;Apis mellifera
Tena, Tena, Napo, EC;-0,993816667;-77,798645;Apidae;Trigona chanchamayoensis
Distrito Metropolitano de Quito, Ecuador;-0,132524141;-78,54055133;Apidae;Bombus rubicundus
Calle Cuenca, Tena, Ecuador;-1,00454319;-77,80973233;Apidae;Trigona chanchamayoensis
Via Tena, Muyuna, Atacapi, Tena, Napo, EC;-0,987403903;-77,82916989;Apidae;Apis mellifera
Distrito Metropolitano de Quito, Ecuador;0,016922672;-78,46353499;Apidae;Anthophora pilifrons
Antonio Ante, Antonio Ante, Imbabura, EC;0,340161667;-78,15956117;Apidae;Apis mellifera
Calle Teniente Hugo OrtÃ­z, Tena, Ecuador;-0,983259953;-77,81295955;Apidae;Apis mellifera
GalÃ¡pagos Islands, Ecuador;-0,632726798;-90,43548408;Apidae;Xylocopa darwini
Avenida Tamiahurco, Tena, Napo, EC;-0,98531924;-77,8191603;Apidae;Apis mellifera
Jorge Carrera Andrade, Tena, Ecuador;-0,986529946;-77,82003021;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,987807037;-77,82822685;Apidae;Apis mellifera
Tena, EC-NA, EC;-0,987482607;-77,82810211;Apidae;Apis mellifera
Av. Francisco de Orellana, Tena, Ecuador;-0,992659782;-77,81496769;Apidae;Xylocopa similis
Tena, EC-NA, EC;-1,021249855;-77,8155146;Apidae;Apis mellifera
"Parque AmazÃ³nico ""La Isla"", Av. Francisco de Orellana, Tena, Ecuador";-0,995116686;-77,81718437;Apidae;Xylocopa similis
Av. Muyuna Y Jorge, Ecuador;-0,9868508;-77,8286503;Apidae;Apis mellifera
Tena, EC-NA, EC;-0,991867818;-77,81667533;Apidae;Apis mellifera
Tena, EC-NA, EC;-0,993789852;-77,81543451;Apidae;Apis mellifera
Tena, Tena, Napo, EC;-0,987673095;-77,82916672;Apidae;Apis mellifera
Tena, EC-NA, EC;-0,992670301;-77,81498873;Apidae;Xylocopa similis
Tena, EC-NA, EC;-0,9933899;-77,8136765;Apidae;Apis mellifera
